restaurant_id,name,address,rating
37,Red Eats Station,278 Hai Ba Trung Street - District 8,4.2
38,Crazy Lab Bar,61 Nguyen Thi Minh Khai Street - District 5,4.2
39,Red Lab Spot,219 Tran Hung Dao Street - District 2,5.0
40,Sweet Kitchen Express,49 Nguyen Hue Street - District 5,4.2
41,Red Garden Zone,187 Pasteur Street - District 3,4.1
42,Green Bistro Station,112 Hai Ba Trung Street - District 5,4.2
43,Happy Grill Saigon,311 Hai Ba Trung Street - District 7,4.8
44,Crazy Garden Saigon,95 Le Duan Street - District 8,4.7
45,Happy Corner Station,92 Le Duan Street - District 11,4.9
46,Urban Lab Express,235 Le Duan Street - District 5,3.9
47,Sweet Grill Station,225 Tran Hung Dao Street - District 10,5.0
48,Royal Hub Bar,271 Le Loi Street - District 11,4.5
49,Red Palace Spot,257 Le Loi Street - District 2,4.1
50,Sweet Diner Table,329 Le Loi Street - District 3,4.4
51,Gourmet Diner Table,214 Le Loi Street - District 2,4.1
52,Green Hub Spot,265 Tran Hung Dao Street - District 12,4.9
53,Royal Grill Table,212 Nguyen Thi Minh Khai Street - District 9,4.5
54,Neon Diner Room,200 Nguyen Thi Minh Khai Street - District 5,4.2
55,Red Bistro Zone,136 Nguyen Hue Street - District 1,4.7
56,The Golden Diner Zone,127 Pasteur Street - District 12,4.8
57,Crazy Corner Room,269 Nguyen Hue Street - District 8,4.8
58,Happy Palace Station,339 Hai Ba Trung Street - District 4,4.4
59,Royal Palace Spot,89 Nguyen Hue Street - District 6,4.9
60,Urban Eats Express,346 Nguyen Hue Street - District 12,4.9
61,Red Eats Table,65 Hai Ba Trung Street - District 7,4.7
62,Gourmet Corner Station,151 Pasteur Street - District 5,5.0
63,Urban Bistro Saigon,170 Nguyen Hue Street - District 4,4.3
64,Neon Kitchen Bar,180 Tran Hung Dao Street - District 2,5.0
65,Urban Lab Zone,316 Nguyen Hue Street - District 2,4.7
66,Green Eats Zone,261 Nam Ky Khoi Nghia Street - District 6,4.8
67,Sweet Corner Room,316 Dien Bien Phu Street - District 1,4.9
68,Red Palace House,234 Nguyen Thi Minh Khai Street - District 11,4.9
69,Sweet Diner House,233 Dien Bien Phu Street - District 5,4.3
70,Royal Eats Bar,219 Le Loi Street - District 12,4.5
71,Neon Grill Zone,197 Nguyen Thi Minh Khai Street - District 7,4.5
72,The Golden Palace Station,353 Nam Ky Khoi Nghia Street - District 7,4.3
73,Gourmet Lab Table,300 Cach Mang Thang Tam Street - District 8,4.8
74,Gourmet Kitchen Express,137 Nguyen Thi Minh Khai Street - District 7,4.7
75,The Golden Diner Station,184 Nam Ky Khoi Nghia Street - District 7,4.9
76,Urban Garden Bar,344 Le Duan Street - District 6,4.8
77,Happy Palace Room,202 Le Loi Street - District 3,4.7
78,Crazy Garden Saigon,323 Nam Ky Khoi Nghia Street - District 6,4.2
79,Green Garden Station,188 Le Loi Street - District 5,4.6
80,Red Garden Table,264 Dien Bien Phu Street - District 3,4.1
81,Green Grill Table,368 Nam Ky Khoi Nghia Street - District 1,4.6
82,Green Hub Bar,271 Cach Mang Thang Tam Street - District 11,4.2
83,Sweet Corner Zone,197 Nguyen Hue Street - District 9,3.9
84,Sweet Hub Station,342 Pasteur Street - District 8,5.0
85,Happy Lab Saigon,133 Hai Ba Trung Street - District 4,4.7
86,Green Grill Room,148 Nguyen Hue Street - District 5,4.2
87,Gourmet Diner Bar,344 Le Duan Street - District 3,3.9
88,Urban Eats Bar,113 Hai Ba Trung Street - District 4,4.3
89,Red Hub Table,352 Nguyen Hue Street - District 2,4.4
90,The Golden Grill Saigon,123 Cach Mang Thang Tam Street - District 11,4.1
91,Gourmet Diner Station,213 Pasteur Street - District 3,3.8
92,Happy Corner Station,336 Nguyen Thi Minh Khai Street - District 2,4.0
93,Happy Garden Bar,164 Pasteur Street - District 5,4.5
94,Gourmet Diner House,225 Le Duan Street - District 3,4.8
95,Green Palace Spot,183 Hai Ba Trung Street - District 1,4.0
96,Green Palace Table,394 Dien Bien Phu Street - District 11,3.9
97,Red Diner Room,308 Tran Hung Dao Street - District 3,4.6
98,Green Hub Express,145 Nguyen Thi Minh Khai Street - District 3,4.5
99,Sweet Hub Table,226 Le Loi Street - District 5,4.8
100,Neon Garden Room,251 Nguyen Thi Minh Khai Street - District 8,4.2
101,Urban Kitchen House,155 Le Duan Street - District 5,4.7
102,The Golden Diner Express,186 Nam Ky Khoi Nghia Street - District 8,4.8
103,Gourmet Eats Table,328 Nguyen Thi Minh Khai Street - District 6,3.9
104,Sweet Diner Zone,251 Le Loi Street - District 7,4.3
105,Gourmet Lab Express,392 Hai Ba Trung Street - District 3,4.8
106,Red Hub Table,205 Dien Bien Phu Street - District 10,3.9
107,Crazy Garden Station,388 Dien Bien Phu Street - District 6,4.2
108,Neon Garden House,150 Nam Ky Khoi Nghia Street - District 1,3.9
109,Red Eats Bar,160 Hai Ba Trung Street - District 1,4.8
110,Sweet Palace Zone,370 Cach Mang Thang Tam Street - District 9,4.1
111,Happy Bistro Saigon,403 Tran Hung Dao Street - District 3,4.5
112,Urban Eats Saigon,410 Nam Ky Khoi Nghia Street - District 2,4.3
113,The Golden Kitchen House,201 Nguyen Hue Street - District 11,4.9
114,Urban Palace House,329 Le Duan Street - District 9,4.9
115,Red Palace House,139 Pasteur Street - District 11,3.9
116,Happy Bistro Saigon,406 Nguyen Hue Street - District 10,4.4
117,Neon Lab Spot,332 Le Loi Street - District 1,4.0
118,Neon Garden Table,145 Nguyen Thi Minh Khai Street - District 2,4.7
119,Neon Garden Bar,250 Dien Bien Phu Street - District 8,4.0
120,Urban Eats Table,217 Nguyen Hue Street - District 1,4.4
121,Happy Diner House,403 Nguyen Thi Minh Khai Street - District 10,4.9
122,Gourmet Eats Saigon,322 Pasteur Street - District 4,3.9
123,Red Palace Station,288 Pasteur Street - District 7,5.0
124,Urban Hub Station,401 Le Duan Street - District 6,4.4
125,The Golden Diner Table,297 Dien Bien Phu Street - District 8,4.3
126,Red Lab Bar,153 Nam Ky Khoi Nghia Street - District 7,4.1
127,Green Eats Room,254 Tran Hung Dao Street - District 8,5.0
128,Gourmet Hub Station,228 Le Loi Street - District 11,4.3
129,Sweet Lab Bar,325 Cach Mang Thang Tam Street - District 9,4.2
130,Gourmet Garden Express,309 Pasteur Street - District 2,3.9
131,Neon Bistro Bar,210 Pasteur Street - District 7,4.0
132,Happy Bistro Station,317 Nguyen Thi Minh Khai Street - District 3,4.2
133,Crazy Eats Bar,362 Le Duan Street - District 11,4.0
134,Gourmet Bistro House,356 Nguyen Hue Street - District 11,4.7
135,Crazy Garden Station,168 Dien Bien Phu Street - District 12,4.2
136,Gourmet Grill Room,176 Le Duan Street - District 9,4.1
137,Happy Hub Saigon,181 Tran Hung Dao Street - District 8,4.4
138,The Golden Hub Bar,419 Cach Mang Thang Tam Street - District 12,3.9
139,The Golden Garden Room,333 Nguyen Thi Minh Khai Street - District 6,3.8
140,Happy Garden Spot,373 Cach Mang Thang Tam Street - District 6,4.6
141,Royal Lab Express,186 Cach Mang Thang Tam Street - District 1,4.3
142,Royal Lab Bar,259 Le Duan Street - District 10,4.7
143,Urban Grill House,200 Nguyen Hue Street - District 11,4.4
144,Urban Diner Table,176 Le Loi Street - District 7,4.2
145,Happy Kitchen Spot,183 Pasteur Street - District 2,4.2
146,Urban Corner Saigon,307 Cach Mang Thang Tam Street - District 10,4.7
147,Crazy Eats Bar,162 Nguyen Hue Street - District 2,4.3
148,The Golden Corner Room,391 Nguyen Thi Minh Khai Street - District 6,4.1
149,Urban Garden Station,152 Nam Ky Khoi Nghia Street - District 3,4.5
150,Royal Garden Station,413 Le Loi Street - District 6,3.9
151,Happy Grill Saigon,406 Nam Ky Khoi Nghia Street - District 2,4.2
152,The Golden Lab Saigon,179 Le Duan Street - District 12,4.6
153,Sweet Grill Saigon,414 Nam Ky Khoi Nghia Street - District 12,4.3
154,Happy Garden Express,255 Le Loi Street - District 3,4.8
155,The Golden Grill Room,332 Cach Mang Thang Tam Street - District 5,4.2
156,The Golden Kitchen Station,156 Cach Mang Thang Tam Street - District 1,4.6
157,Royal Palace House,377 Le Loi Street - District 9,4.3
158,Sweet Eats Zone,242 Tran Hung Dao Street - District 5,4.4
159,Gourmet Hub House,344 Le Duan Street - District 1,4.9
160,Urban Palace Room,212 Dien Bien Phu Street - District 9,4.8
161,Crazy Corner Station,203 Le Duan Street - District 10,4.0
162,Red Lab Saigon,233 Pasteur Street - District 12,4.0
163,Gourmet Diner Bar,206 Le Duan Street - District 7,4.6
164,Red Bistro Spot,350 Le Duan Street - District 12,4.5
165,Urban Garden Bar,220 Pasteur Street - District 3,4.7
166,Sweet Palace Station,413 Nam Ky Khoi Nghia Street - District 3,3.9
167,The Golden Garden Zone,465 Dien Bien Phu Street - District 3,4.4
168,Red Kitchen Table,272 Pasteur Street - District 1,4.1
169,Crazy Hub Room,361 Dien Bien Phu Street - District 3,4.2
170,Green Hub Zone,407 Nam Ky Khoi Nghia Street - District 4,4.9
171,Gourmet Corner Spot,386 Hai Ba Trung Street - District 1,4.0
172,Green Lab House,186 Dien Bien Phu Street - District 2,5.0
173,Red Garden Saigon,346 Nguyen Thi Minh Khai Street - District 4,4.1
174,Crazy Grill Spot,295 Nguyen Hue Street - District 1,4.4
175,Green Palace Room,203 Le Loi Street - District 5,4.3
176,Royal Kitchen Bar,260 Tran Hung Dao Street - District 1,4.7
177,Red Garden Bar,323 Nam Ky Khoi Nghia Street - District 12,4.6
178,Happy Grill Bar,324 Le Duan Street - District 12,4.1
179,Red Corner Zone,251 Pasteur Street - District 11,4.8
180,The Golden Garden Saigon,200 Hai Ba Trung Street - District 4,4.5
181,Red Lab Spot,212 Nam Ky Khoi Nghia Street - District 4,4.5
182,Royal Garden Table,365 Nam Ky Khoi Nghia Street - District 11,4.6
183,Red Garden Spot,229 Le Loi Street - District 6,4.8
184,The Golden Corner Table,308 Nguyen Hue Street - District 9,4.0
185,Urban Eats Bar,421 Hai Ba Trung Street - District 4,3.8
186,The Golden Palace Zone,389 Hai Ba Trung Street - District 12,3.9
187,Royal Bistro Room,232 Nam Ky Khoi Nghia Street - District 8,4.3
188,Green Corner Zone,290 Nam Ky Khoi Nghia Street - District 5,3.9
189,The Golden Eats Room,194 Nguyen Hue Street - District 12,3.9
190,Sweet Hub Zone,460 Nam Ky Khoi Nghia Street - District 5,4.7
191,Urban Lab Table,411 Le Loi Street - District 8,4.4
192,Neon Kitchen Room,317 Dien Bien Phu Street - District 8,4.1
193,Happy Kitchen Room,258 Nguyen Thi Minh Khai Street - District 4,4.4
194,Green Lab Bar,251 Pasteur Street - District 11,4.8
195,The Golden Garden House,345 Le Loi Street - District 5,4.2
196,Crazy Corner Bar,241 Nguyen Thi Minh Khai Street - District 6,4.6
197,Gourmet Hub House,271 Le Loi Street - District 8,4.5
198,Crazy Grill Table,329 Hai Ba Trung Street - District 10,5.0
199,Gourmet Hub Bar,337 Dien Bien Phu Street - District 4,3.9
200,Crazy Palace Station,483 Nguyen Thi Minh Khai Street - District 11,3.8
